marque,modele_version,mine,cnit,carburant,puissance_fiscale,puissance_reelle,bv,urb,ex_urb,mixte,co2,mois_annee
CITROEN,C2 1.6i 16V,MCT1301RM828,JMNFUC/IF,ES,7,80.0,M 5,8.7,5.3,6.6,158.0,Janvier 2006
CITROEN,C2 1.6i 16V SensoDrive,MCT3301RF779,JMNFUC/PIF,ES,6,80.0,A 5,8.3,5.2,6.3,151.0,Janvier 2006
CITROEN,C2 1.6i 16V SensoDrive,MCT3311RJ006,JMNFUC/P,ES,6,80.0,A 5,8.3,5.2,6.3,151.0,Janvier 2006
CITROEN,C2 1.6i 16V SensoDrive,MCT3311RK007,JMNFUC/PIF,ES,6,80.0,A 5,8.3,5.2,6.3,151.0,Janvier 2006
CITROEN,C2 1.6i 16V VTS,MCT1401RU862,JMNFSC/IF,ES,7,90.0,M 5,9.3,5.4,6.9,163.0,Janvier 2006
CITROEN,C2 1.6i 16V VTS,MCT1411RH000,JMNFSC,ES,7,90.0,M 5,9.3,5.4,6.9,163.0,Janvier 2006
CITROEN,C2 1.6i 16V VTS,MCT1411RJ001,JMNFSC/IF,ES,7,90.0,M 5,9.3,5.4,6.9,163.0,Janvier 2006
CITROEN,C3 1.4i,MCT1102P6965,FLKFVC,ES,5,54.0,M 5,8.2,4.9,6.1,145.0,Janvier 2006
CITROEN,C3 1.4i 16V SensoDrive,MCT3202P6949,FLKFUC/P,ES,5,65.0,A 5,7.6,5.0,6.0,143.0,Janvier 2006
CITROEN,C3 1.6HDI 16V,MCT5202PE951,FC9HXC,GO,5,66.2,M 5,5.7,3.7,4.4,118.0,Janvier 2006
CITROEN,C3 1.6HDI 16V FAP,MCT5312PL002,FC9HZC,GO,6,80.0,M 5,5.7,3.8,4.5,120.0,Janvier 2006
CITROEN,C3 1.6HDi 16V,MCT5202PF952,FL9HXC,GO,5,66.2,M 5,5.7,3.7,4.4,118.0,Janvier 2006
CITROEN,C3 1.6HDi 16V FAP,MCT5312PM003,FL9HZC,GO,6,80.0,M 5,5.7,3.8,4.5,120.0,Janvier 2006
CITROEN,C3 5P 1.1i,MCT1002P9845,FCHFXB,ES,4,44.1,M 5,7.7,4.9,5.9,140.0,Janvier 2006
CITROEN,C3 5P 1.1i,MCT1002PA846,FCHFXC/IF,ES,4,44.1,M 5,7.9,4.9,6.0,142.0,Janvier 2006
CITROEN,C3 5P 1.1i,MCT1002PB944,FCHFXB,ES,4,44.1,M 5,7.7,4.9,5.9,140.0,Janvier 2006
CITROEN,C3 5P 1.1i,MCT1002PC945,FCHFXC,ES,4,44.1,M 5,7.6,5.0,6.0,143.0,Janvier 2006
CITROEN,C3 5P 1.1i,MCT1002PD946,FCHFXC/IF,ES,4,44.1,M 5,7.9,4.9,6.0,142.0,Janvier 2006
CITROEN,C3 5P 1.1i,MCT1002PE681,FCHFXB,ES,4,44.1,M 5,7.8,5.0,6.0,143.0,Janvier 2006
CITROEN,C3 5P 1.4HDi,MCT5002P0788,FC8HXC/IF,GO,4,50.0,M 5,5.3,3.8,4.3,113.0,Janvier 2006
CITROEN,C3 5P 1.4HDi,MCT5002P0982,FL8HZB,GO,4,50.0,M 5,5.1,3.7,4.2,109.0,Janvier 2006
CITROEN,C3 5P 1.4HDi,MCT5002P1922,FL8HXB,GO,4,50.0,M 5,5.1,3.7,4.2,109.0,Janvier 2006
CITROEN,C3 5P 1.4HDi,MCT5002P1983,FL8HZC,GO,4,50.0,M 5,5.3,3.8,4.4,115.0,Janvier 2006
CITROEN,C3 5P 1.4HDi,MCT5002P4925,FC8HZB,GO,4,50.0,M 5,5.1,3.7,4.2,109.0,Janvier 2006
CITROEN,C3 5P 1.4HDi,MCT5002P5926,FC8HZC,GO,4,50.0,M 5,5.3,3.8,4.4,115.0,Janvier 2006
CITROEN,C3 5P 1.4HDi,MCT5002P7928,FL8HZB,GO,4,50.0,M 5,5.1,3.7,4.2,109.0,Janvier 2006
CITROEN,C3 5P 1.4HDi,MCT5002P8796,FC8HXC,GO,4,50.0,M 5,5.3,3.8,4.4,115.0,Janvier 2006
CITROEN,C3 5P 1.4HDi,MCT5002PC678,FC8HXB,GO,4,50.0,M 5,5.1,3.8,4.2,110.0,Janvier 2006
CITROEN,C3 5P 1.4HDi,MCT5002PH841,FC8HXB,GO,4,50.0,M 5,5.1,3.7,4.2,109.0,Janvier 2006
CITROEN,C3 5P 1.4HDi,MCT5002PX979,FC8HZB,GO,4,50.0,M 5,5.1,3.7,4.2,109.0,Janvier 2006
CITROEN,C3 5P 1.4HDi,MCT5002PY980,FC8HZC,GO,4,50.0,M 5,5.3,3.8,4.4,115.0,Janvier 2006
CITROEN,C3 5P 1.4HDi 16V,MCT5202PQ830,FL8HYB,GO,5,66.0,M 5,5.3,3.7,4.3,112.0,Janvier 2006
CITROEN,C3 5P 1.4HDi 16V,MCT5202PV677,FC8HYB,GO,5,66.0,M 5,5.3,3.7,4.3,112.0,Janvier 2006
CITROEN,C3 5P 1.4HDi 16V 4PL,MCT5202P9910,FT8HYB,GO,5,66.0,M 5,5.3,3.7,4.3,112.0,Janvier 2006
CITROEN,C3 5P 1.4HDi SensoDrive,MCT7002P5981,FC8HZC/P,GO,4,50.0,A 5,4.9,3.9,4.3,113.0,Janvier 2006
CITROEN,C3 5P 1.4HDi SensoDrive,MCT7002P8984,FL8HZC/P,GO,4,50.0,A 5,4.9,3.9,4.3,113.0,Janvier 2006
CITROEN,C3 5P 1.4HDi SensoDrive,MCT7002PC927,FC8HZC/P,GO,4,50.0,A 5,4.9,3.9,4.3,113.0,Janvier 2006
CITROEN,C3 5P 1.4HDi SensoDrive,MCT7002PD795,FC8HXC/P,GO,4,50.0,A 5,5.2,4.0,4.4,117.0,Janvier 2006
CITROEN,C3 5P 1.4HDi SensoDrive,MCT7002PP842,FC8HXC/P,GO,4,50.0,A 5,4.9,3.9,4.3,113.0,Janvier 2006
CITROEN,C3 5P 1.4i,MCT1102P2961,FCKFVB,ES,5,54.0,M 5,8.2,4.9,6.1,145.0,Janvier 2006
CITROEN,C3 5P 1.4i,MCT1102P3962,FCKFVC,ES,5,54.0,M 5,8.2,4.9,6.1,145.0,Janvier 2006
CITROEN,C3 5P 1.4i,MCT1102P4963,FCKFVC/IF,ES,5,54.0,M 5,8.3,5.1,6.2,147.0,Janvier 2006
CITROEN,C3 5P 1.4i,MCT1102PH843,FCKFVB,ES,5,54.0,M 5,8.2,4.9,6.1,145.0,Janvier 2006
CITROEN,C3 5P 1.4i,MCT1102PJ844,FCKFVC/IF,ES,5,54.0,M 5,8.3,5.1,6.2,147.0,Janvier 2006
CITROEN,C3 5P 1.4i,MCT1102PN680,FCKFVB,ES,5,54.0,M 5,8.2,5.0,6.2,148.0,Janvier 2006
CITROEN,C3 5P 1.4i 16V SensoDrive,MCT3202P1908,FCKFUC/PS,ES,5,65.0,A 5,6.9,4.9,5.7,135.0,Janvier 2006
CITROEN,C3 5P 1.4i 16V SensoDrive,MCT3202P4947,FCKFUC/P,ES,5,65.0,A 5,7.6,5.0,6.0,143.0,Janvier 2006
CITROEN,C3 5P 1.4i 16V SensoDrive,MCT3202PJ829,FLKFUC/P,ES,5,65.0,A 5,7.6,5.0,6.0,143.0,Janvier 2006
CITROEN,C3 5P 1.4i 16V SensoDrive,MCT3202PS802,FCKFUC/P,ES,5,65.0,A 5,7.6,5.0,6.0,143.0,Janvier 2006
CITROEN,C3 5P 1.4i 16V SensoDrive 4PL,MCT3202P2909,FTKFUC/P,ES,5,65.0,A 5,7.6,5.0,6.0,143.0,Janvier 2006
CITROEN,C3 5P 1.4i 16V SensoDrive 4PL,MCT3202P7950,FTKFUC/P,ES,5,65.0,A 5,7.6,5.0,6.0,143.0,Janvier 2006
CITROEN,C3 5P 1.4i 16V SensoDrive STT2,MCT3202P5948,FCKFUC/PS,ES,5,65.0,A 5,6.9,4.9,5.7,135.0,Janvier 2006
CITROEN,C3 5P 1.4i BVA,MCT3102PB964,FCKFVE,ES,5,54.0,A 4,9.3,5.4,6.8,161.0,Janvier 2006
CITROEN,C3 5P 1.4i BVA,MCT3102PR750,FCKFVE,ES,5,54.0,A 4,9.3,5.4,6.8,161.0,Janvier 2006
CITROEN,C3 5P 1.4i BVA,MCT3102PX684,FCKFVE,ES,5,54.0,A 4,9.7,5.5,7.1,170.0,Janvier 2006
CITROEN,C3 5P 1.4i GNV,MCT9012P9008,FCKFVC/GN,ES/GN,4,54.0,M 5,8.9,5.3,6.5,154.0,Janvier 2006
CITROEN,C3 5P 1.4i GNV,MCT9012P9008,FCKFVC/GN,GN/ES,4,49.0,M 5,8.7,5.3,6.6,119.0,Janvier 2006
CITROEN,C3 5P 1.6HDi 16V,MCT5202PG917,FC9HXC,GO,5,66.2,M 5,5.7,3.7,4.4,118.0,Janvier 2006
CITROEN,C3 5P 1.6HDi 16V,MCT5202PH918,FL9HXC,GO,5,66.2,M 5,5.7,3.7,4.4,118.0,Janvier 2006
CITROEN,C3 5P 1.6HDi 16V 4PL,MCT5202PG953,FT9HXC,GO,5,66.2,M 5,5.7,3.7,4.4,118.0,Janvier 2006
CITROEN,C3 5P 1.6HDi 16V 4PL,MCT5202PJ919,FT9HXC,GO,5,66.2,M 5,5.7,3.7,4.4,118.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V,MCT1302P1904,FCNFUB,ES,6,80.0,M 5,8.6,5.2,6.5,155.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V,MCT1302P2905,FCNFUC/IF,ES,6,80.0,M 5,8.6,5.2,6.5,155.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V,MCT1302P6715,FCNFUC/IF,ES,6,80.0,M 5,8.6,5.2,6.5,155.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V,MCT1302P6970,FLNFUC,ES,6,80.0,M 5,8.6,5.2,6.5,155.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V,MCT1302P7971,FLNFUC/IF,ES,6,80.0,M 5,8.6,5.2,6.5,155.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V,MCT1302PH920,FLNFUC/IF,ES,6,80.0,M 5,8.6,5.2,6.5,155.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V,MCT1302PP734,FCNFUB,ES,6,80.0,M 5,8.6,5.2,6.5,155.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V,MCT1302PQ735,FCNFUC/IF,ES,6,80.0,M 5,8.6,5.2,6.5,155.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V,MCT1302PR966,FCNFUB,ES,6,80.0,M 5,8.6,5.2,6.5,155.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V,MCT1302PS967,FCNFUC,ES,6,80.0,M 5,8.6,5.2,6.5,155.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V,MCT1302PT968,FCNFUC/IF,ES,6,80.0,M 5,8.6,5.2,6.5,155.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V 4PL,MCT1302PJ921,FTNFUC/IF,ES,6,80.0,M 5,8.6,5.2,6.5,155.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V BVA,MCT3312P5028,FCNFUF,ES,7,80.0,A 4,9.8,5.4,7.0,165.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V SensoDrive,MCT3302P0969,FCNFUC/PIF,ES,6,80.0,A 5,8.0,5.1,6.2,148.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V SensoDrive,MCT3302P9906,FCNFUC/PIF,ES,6,80.0,A 5,8.0,5.1,6.2,148.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V SensoDrive,MCT3302PE972,FLNFUC/PIF,ES,6,80.0,A 5,8.0,5.1,6.2,148.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V SensoDrive,MCT3302PX736,FCNFUC/PIF,ES,6,80.0,A 5,8.0,5.1,6.2,148.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V SensoDrive,MCT3302PY834,FLNFUC/PIF,ES,6,80.0,A 5,8.0,5.1,6.2,148.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V SensoDrive,MCT3312PH004,FCNFUC/P,ES,6,80.0,A 5,8.1,5.1,6.2,148.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V SensoDrive,MCT3312PJ005,FLNFUC/P,ES,6,80.0,A 5,8.1,5.1,6.2,148.0,Janvier 2006
CITROEN,C3 5P 1.6i 16V SensoDrive 4PL,MCT3302PA907,FTNFUC/PIF,ES,6,80.0,A 5,8.0,5.1,6.2,148.0,Janvier 2006
CITROEN,C3 PLURIEL 1.4HDi,MCT5005Q2855,HB8HXB,GO,4,50.0,M 5,5.5,4.0,4.5,120.0,Janvier 2006
CITROEN,C3 PLURIEL 1.4HDi,MCT5005Q9923,HB8HZB,GO,4,50.0,M 5,5.5,4.0,4.5,120.0,Janvier 2006
CITROEN,C3 PLURIEL 1.4HDi,MCT5015QC016,HB8HXB,GO,4,50.0,M 5,5.5,4.0,4.5,120.0,Janvier 2006
CITROEN,C3 PLURIEL 1.4HDi,MCT5015QD017,HB8HZB,GO,4,50.0,M 5,5.5,4.0,4.5,120.0,Janvier 2006
CITROEN,C3 PLURIEL 1.4HDi,MCT5015QE018,HB8HZC,GO,4,50.0,M 5,5.7,4.2,4.7,125.0,Janvier 2006
CITROEN,C3 PLURIEL 1.4i,MCT1105Q4956,HBKFVB,ES,5,54.0,M 5,8.9,5.5,6.8,163.0,Janvier 2006
CITROEN,C3 PLURIEL 1.4i,MCT1105Q5957,HBKFVC,ES,5,54.0,M 5,9.1,5.4,6.8,163.0,Janvier 2006
CITROEN,C3 PLURIEL 1.4i,MCT1105Q6958,HBKFVC/IF,ES,5,54.0,M 5,9.0,5.7,6.9,165.0,Janvier 2006
CITROEN,C3 PLURIEL 1.4i,MCT1105QP747,HBKFVB,ES,5,54.0,M 5,8.9,5.5,6.8,163.0,Janvier 2006
CITROEN,C3 PLURIEL 1.4i,MCT1105QQ748,HBKFVC/IF,ES,5,54.0,M 5,9.0,5.7,6.9,165.0,Janvier 2006
CITROEN,C3 PLURIEL 1.6i 16V SensoDrive,MCT3305QH749,HBNFUC/PIF,ES,7,80.0,A 5,8.3,5.5,6.6,157.0,Janvier 2006
CITROEN,C3 PLURIEL 1.6i 16V SensoDrive,MCT3305QX959,HBNFUC/P,ES,7,80.0,A 5,8.6,5.6,6.7,160.0,Janvier 2006
CITROEN,C3 PLURIEL 1.6i 16V SensoDrive,MCT3305QY960,HBNFUC/PIF,ES,7,80.0,A 5,8.3,5.5,6.6,157.0,Janvier 2006
CITROEN,C4 5P 1.4i,MCT1202SP899,LCKFUC,ES,6,65.0,M 5,8.7,5.2,6.4,153.0,Janvier 2006
CITROEN,C4 5P 1.6i,MCT1302S0900,LCNFUC,ES,7,80.0,M 5,9.5,5.7,7.1,169.0,Janvier 2006
CITROEN,C4 5P 1.6i,MCT1302S1901,LCNFUC/IF,ES,7,80.0,M 5,9.5,5.7,7.1,169.0,Janvier 2006
CITROEN,C4 5P 1.6i,MCT3302S5935,LCNFUF,ES,7,80.0,A 4,10.6,5.8,7.6,180.0,Janvier 2006
CITROEN,C4 5P 1.6i,MCT3302S6936,LCNFUF/IF,ES,7,80.0,A 4,10.6,5.8,7.6,180.0,Janvier 2006
CITROEN,C4 5P 2.0i,MCT1612SV027,LCRFJC,ES,9,103.0,M 5,10.7,5.8,7.6,182.0,Janvier 2006
CITROEN,C4 5P 2.0i BVA,MCT3602SP924,LCRFJF,ES,9,103.0,A 4,11.7,6.1,8.1,193.0,Janvier 2006
CITROEN,C4 5P HDi (110ch),MCT5302S9897,LC9HYB,GO,6,80.0,M 5,6.0,4.0,4.7,125.0,Janvier 2006
CITROEN,C4 5P HDi (110ch),MCT5302SA898,LC9HZC,GO,6,80.0,M 5,6.0,4.0,4.7,125.0,Janvier 2006
CITROEN,C4 5P HDi (110ch),MCT5312SK034,LC9HYC,GO,6,80.0,M 5,6.1,4.0,4.8,128.0,Janvier 2006
CITROEN,C4 5P HDi (138ch),MCT5502SX998,LCRHRG,GO,7,100.0,M 6,7.1,4.5,5.4,142.0,Janvier 2006
CITROEN,C4 5P HDi (138ch),MCT5502SZ903,LCRHRH,GO,7,100.0,M 6,7.1,4.5,5.4,142.0,Janvier 2006
CITROEN,C4 5P HDi (138ch),MCT5512S5035,LCRHRH/SF,GO,8,100.0,M 6,7.2,4.6,5.5,145.0,Janvier 2006
CITROEN,C4 5P HDi (92ch),MCT5202SY896,LC9HXC,GO,5,66.2,M 5,5.9,4.1,4.7,125.0,Janvier 2006
CITROEN,C4 COUPE 1.4i,MCT1201SE890,LAKFUC,ES,6,65.0,M 5,8.7,5.2,6.4,153.0,Janvier 2006
CITROEN,C4 COUPE 1.6i,MCT1301SP891,LANFUC,ES,7,80.0,M 5,9.5,5.7,7.1,169.0,Janvier 2006
CITROEN,C4 COUPE 1.6i,MCT1301SQ892,LANFUC/IF,ES,7,80.0,M 5,9.5,5.7,7.1,169.0,Janvier 2006
CITROEN,C4 COUPE 2.0i,MCT1501SC894,LARFNC/IF,ES,8,100.0,M 5,11.3,5.8,7.8,186.0,Janvier 2006
CITROEN,C4 COUPE 2.0i,MCT1611SR025,LARFJC,ES,9,103.0,M 5,10.7,5.8,7.6,182.0,Janvier 2006
CITROEN,C4 COUPE 2.0i,MCT1701SV893,LARFKC/IF,ES,11,130.0,M 5,11.7,6.5,8.4,200.0,Janvier 2006
CITROEN,C4 COUPE 2.0i,MCT1711S2026,LARFKC,ES,11,130.0,M 5,11.7,6.5,8.4,200.0,Janvier 2006
CITROEN,C4 COUPE 2.0i,MCT3301S1933,LANFUF,ES,7,80.0,A 4,10.6,5.8,7.6,180.0,Janvier 2006
CITROEN,C4 COUPE 2.0i,MCT3301S2934,LANFUF/IF,ES,7,80.0,A 4,10.6,5.8,7.6,180.0,Janvier 2006
CITROEN,C4 COUPE HDi (110ch),MCT5301SY888,LA9HYB,GO,6,80.0,M 5,6.0,4.0,4.7,125.0,Janvier 2006
CITROEN,C4 COUPE HDi (110ch),MCT5301SZ889,LA9HZC,GO,6,80.0,M 5,6.0,4.0,4.7,125.0,Janvier 2006
CITROEN,C4 COUPE HDi (110ch),MCT5311SG032,LA9HYC,GO,6,80.0,M 5,6.1,4.0,4.8,128.0,Janvier 2006
CITROEN,C4 COUPE HDi (138ch),MCT5501SP895,LARHRH,GO,7,100.0,M 6,7.1,4.5,5.4,142.0,Janvier 2006
CITROEN,C4 COUPE HDi (138ch),MCT5501SU997,LARHRG,GO,7,100.0,M 6,7.1,4.5,5.4,142.0,Janvier 2006
CITROEN,C4 COUPE HDi (138ch),MCT5511S1033,LARHRH/SF,GO,8,100.0,M 6,7.2,4.6,5.5,145.0,Janvier 2006
CITROEN,C4 COUPE HDi (92ch),MCT5201SN887,LA9HXC,GO,5,66.2,M 5,5.9,4.1,4.7,125.0,Janvier 2006
CITROEN,C5 1.6HDi (110ch) FAP,MCT5302MJ913,RC9HZC,GO,6,80.0,M 5,6.8,4.5,5.4,142.0,Janvier 2006
CITROEN,C5 1.8i 16V,MCT1512M2014,RC6FYC,ES,8,92.0,M 5,10.4,5.9,7.6,180.0,Janvier 2006
CITROEN,C5 2.0HDi (129ch) FAP Leader,MCT5502MG865,RCRHLH,GO,7,93.0,M 6,7.8,5.0,6.0,158.0,Janvier 2006
CITROEN,C5 2.0HDi (138ch),MCT5502M5879,RCRHRG,GO,8,100.0,M 6,7.8,5.0,6.0,158.0,Janvier 2006
CITROEN,C5 2.0HDi (138ch) FAP,MCT5502M6880,RCRHRH,GO,8,100.0,M 6,7.8,5.0,6.0,158.0,Janvier 2006
CITROEN,C5 2.0HDi (138ch) FAP BVA,MCT7512MZ029,RCRHRJ,GO,9,100.0,A 6,10.0,5.5,7.1,189.0,Janvier 2006
CITROEN,C5 2.0i 16V,MCT1602MJ869,RCRFJC,ES,9,103.0,M 5,11.1,6.3,8.0,190.0,Janvier 2006
CITROEN,C5 2.0i 16V BVA,MCT3602M5911,RCRFJF,ES,9,103.0,A 4,12.4,6.4,8.6,206.0,Janvier 2006
CITROEN,C5 2.2HDi (136ch) BVA,MCT7502MH885,RC4HXE,GO,8,98.0,A 4,9.8,5.5,7.1,186.0,Janvier 2006
CITROEN,C5 3.0i V6 BVA,MCT3902ME915,RCXFUJ,ES,14,152.0,A 6,14.7,7.2,10.0,238.0,Janvier 2006
CITROEN,C5 BREAK 1.6HDi (110ch) FAP,MCT5304MP914,RE9HZC,GO,6,80.0,M 5,6.9,4.6,5.5,145.0,Janvier 2006
CITROEN,C5 BREAK 1.8i 16V,MCT1514M7015,RE6FYC,ES,8,92.0,M 5,10.4,5.9,7.6,180.0,Janvier 2006
CITROEN,C5 BREAK 2.0HDi (129ch) Leader,MCT5504ML866,RERHLH,GO,7,93.0,M 6,7.8,5.0,6.0,158.0,Janvier 2006
CITROEN,C5 BREAK 2.0HDi (138ch),MCT5504MB881,RERHRG,GO,8,100.0,M 6,7.8,5.0,6.0,158.0,Janvier 2006
CITROEN,C5 BREAK 2.0HDi (138ch) FAP,MCT5504MC882,RERHRH,GO,8,100.0,M 6,7.8,5.0,6.0,158.0,Janvier 2006
CITROEN,C5 BREAK 2.0HDi (138ch) FAP BVA,MCT7514M4030,RERHRJ,GO,9,100.0,A 6,10.0,5.5,7.1,189.0,Janvier 2006
CITROEN,C5 BREAK 2.0i 16V,MCT1604MP871,RERFJC,ES,9,103.0,M 5,11.1,6.3,8.0,190.0,Janvier 2006
CITROEN,C5 BREAK 2.0i 16V BVA,MCT3604MA912,RERFJF,ES,9,103.0,A 4,12.4,6.4,8.6,206.0,Janvier 2006
CITROEN,C5 BREAK 2.2HDi (136ch) BVA,MCT7504MM886,RE4HXE,GO,8,98.0,A 4,9.8,5.5,7.1,186.0,Janvier 2006
CITROEN,C5 BREAK 3.0i V6 BVA,MCT3904MJ916,REXFUJ,ES,14,152.0,A 6,14.7,7.2,10.0,238.0,Janvier 2006
CITROEN,C6 2.7HDl V6 BVA,MCT7802U5993,TDUHZJ,GO,13,150.0,A 6,12.0,6.8,8.7,230.0,Janvier 2006
CITROEN,C6 3.0il V6 BVA,MCT3902U4994,TDXFVJ,ES,15,155.0,A 6,16.3,8.2,11.2,266.0,Janvier 2006
CITROEN,C8 2.0HDi,MCT5306NZ665,EARHWB,GO,7,80.0,M 5,9.2,5.9,7.0,186.0,Janvier 2006
CITROEN,C8 2.0HDi 16V,MCT5306N0666,EBRHWB,GO,7,80.0,M 5,9.2,5.9,7.0,186.0,Janvier 2006
CITROEN,C8 2.0HDi 16V,MCT5306N1667,EARHTB,GO,7,79.0,M 5,9.4,5.9,7.2,189.0,Janvier 2006
CITROEN,C8 2.0HDi 16V,MCT5306N2668,EBRHTB,GO,7,79.0,M 5,9.4,5.9,7.2,189.0,Janvier 2006
CITROEN,C8 2.0HDi 16V FAP BVA,MCT7306N7789,EARHME,GO,8,79.0,A 4,10.8,6.4,8.0,210.0,Janvier 2006
CITROEN,C8 2.0HDi 16V FAP BVA,MCT7306N8790,EBRHME,GO,8,79.0,A 4,10.8,6.4,8.0,210.0,Janvier 2006
CITROEN,C8 2.0i 16V,MCT1506N3661,EARFNC/IF,ES,9,100.0,M 5,12.3,7.3,9.1,218.0,Janvier 2006
CITROEN,C8 2.0i 16V,MCT1506N4662,EBRFNC/IF,ES,9,100.0,M 5,12.3,7.3,9.1,218.0,Janvier 2006
CITROEN,C8 2.0i 16V,MCT1616NG009,EARFJC,ES,9,103.0,M 5,12.0,7.3,9.0,213.0,Janvier 2006
CITROEN,C8 2.0i 16V,MCT1616NJ011,EBRFJC,ES,9,103.0,M 5,12.0,7.3,9.0,213.0,Janvier 2006
CITROEN,C8 2.0i 16V BVA,MCT3506NE763,EARFNE,ES,9,100.0,A 4,13.7,7.3,9.6,230.0,Janvier 2006
CITROEN,C8 2.0i 16V BVA,MCT3506NF764,EBRFNE,ES,9,100.0,A 4,13.7,7.3,9.6,230.0,Janvier 2006
CITROEN,C8 2.0i 16V BVA,MCT3616NN010,EARFJF,ES,10,103.0,A 4,13.3,7.5,9.6,229.0,Janvier 2006
CITROEN,C8 2.0i 16V BVA,MCT3616NP012,EBRFJF,ES,10,103.0,A 4,13.3,7.5,9.6,229.0,Janvier 2006
CITROEN,C8 2.2HDi 16V FAP,MCT5506NN669,EA4HWB,GO,8,94.0,M 5,10.1,5.9,7.4,199.0,Janvier 2006
CITROEN,C8 2.2HDi 16V FAP,MCT5506NP670,EB4HWB,GO,8,94.0,M 5,10.1,5.9,7.4,199.0,Janvier 2006
CITROEN,C8 2.2HDi 16V FAP,MCT5506NY838,EA4HWG,GO,8,94.0,M 6,9.7,6.1,7.3,195.0,Janvier 2006
CITROEN,C8 2.2HDi 16V FAP,MCT5506NZ839,EB4HWG,GO,8,94.0,M 6,9.7,6.1,7.3,195.0,Janvier 2006
CITROEN,C8 2.2i 16V,MCT1706NP663,EA3FZC/IF,ES,11,116.0,M 5,12.9,7.8,9.7,231.0,Janvier 2006
CITROEN,C8 2.2i 16V,MCT1706NQ664,EB3FZC/IF,ES,11,116.0,M 5,12.9,7.8,9.7,231.0,Janvier 2006
CITROEN,C8 3.0i V6 24V BVA,MCT3806NB730,EAXFWF/IF,ES,14,150.0,A 4,15.8,9.0,11.5,275.0,Janvier 2006
CITROEN,C8 3.0i V6 24V BVA,MCT3806NC731,EBXFWF/IF,ES,14,150.0,A 4,15.8,9.0,11.5,275.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 11Q 2.0HDi,MCT5203EF695,ZAAMPA,GO,7,62.0,M 5,10.6,8.1,9.0,239.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 11Q 2.0HDi,MCT5203EG696,ZAAMRA,GO,7,62.0,M 5,10.2,7.8,8.7,230.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 11Q 2.0i,MCT1403EF687,ZATMPA,ES,10,81.0,M 5,16.1,11.2,13.0,306.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 11Q 2.0i,MCT1403EG688,ZATMRA,ES,10,81.0,M 5,15.9,11.0,12.8,301.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 11Q 2.0i 4X4,MCT2403EK689,ZATWPA,ES,10,81.0,M 5,16.3,11.4,13.2,311.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 11Q 2.2HDi,MCT5303ES698,ZARMPA,GO,8,74.0,M 5,11.5,8.6,9.7,255.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 11Q 2.2HDi,MCT5303ET699,ZARMRA,GO,8,74.0,M 5,11.4,8.5,9.6,253.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 11Q 2.8HDi,MCT5503EH703,ZAPMPA,GO,10,93.5,M 5,10.9,8.8,9.6,254.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 11Q 2.8HDi,MCT5503EJ704,ZAPMRA,GO,9,93.5,M 5,10.6,8.5,9.3,246.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 11Q 2.8HDi 4X4,MCT6503EM705,ZAPWPA,GO,10,93.5,M 5,11.1,9.0,9.8,261.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 11Q 2.8HDi BVA,MCT7503EF864,ZAPARA,GO,10,93.5,A 4,13.4,9.8,11.1,295.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 11Q 2.8HDi BVA,MCT7503EV711,ZAPAPA,GO,11,93.5,A 4,13.7,10.0,11.3,301.0,Janvier 2006
CITROEN,JUMPER II COMBI COURT 15Q 2.0i 4X4,MCT2403EP693,ZBTWRA,ES,10,81.0,M 5,16.1,11.2,13.0,306.0,Janvier 2006
